Departement,prev,Ammoniac (NH3),Demande chimique en oxygène (DCO),Demande biologique en oxygène (DBO5),Azote total (N),Benzo[a]pyrène (benzo[d - e - f]chrysène),Nickel et ses composés (Ni),Phosphore total (P),Zinc et ses composés (Zn),Di(2-éthylhexyle)phtalate (DEHP),Carbone organique total (COT),Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),CO2 Total d'origine non biomasse uniquement,Matières en suspension (MES),Diuron,Cuivre et ses composés (Cu),Chrome et ses composés (Cr),Mercure et ses composés (Hg),Plomb et ses composés (Pb),Benzo(b)fluoranthène,Arsenic et ses composés (As),CO2 Total (CO2 d'origine biomasse et non biomasse),Protoxyde d'azote (N2O),Poussières totales (TSP),1 - 2-dichloroéthane (DCE - chlorure d'éthylène),Composés organiques volatils non méthaniques (COVNM),CO2 Total d'origine biomasse uniquement,Méthane (CH4),Composés organohalogénés (AOX),Oxyde d'éthylène (oxiranne),Dichlorométhane (DCM - chlorure de méthylène),Vanadium et ses composés,Chlore et composés inorganiques (HCl),Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),Thallium et ses composés,1 - 4-dioxane,Cyanures (CN total),Benzo(k)fluoranthène,Benzène,Xylènes,Particules de taille inférieure à 10 µm (PM10),Tétrachlorure de carbone (TCM - tétrachlorométhane),Chrome hexavalent et ses composés,Sulfonate de PerFluoroOctane - SPFO (C8F17SO2X),Trichlorobenzènes (TCB),Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),Manganèse et ses composés (Mn),Cadmium et ses composés (Cd),Nonylphénols,Acide cyanhydrique (HCN),Hydrochlorofluorocarbures (HCFC),Aldéhyde formique (formaldéhyde),Antimoine et ses composés (Sb),Fluor et composés inorganiques (HF),Chlorure de vinyle (chloroéthylène - monochlorure de vinyle - CVM)),Hydroflurocarbures (HFC),Phénols (Ctotal),Perfluorocarbures (PFC),Aluminium et ses composés (Al),Monoxyde de carbone (CO),Cobalt et ses composés (Co),Lindane,Fluorures (F total),Trichloroéthylène (TRI),Hydrocarbures aromatiques polycycliques (HAP),Biphényles polychlorés (PCB),Chloroforme (trichlorométhane),Fer et ses composés (Fe),1 - 3-butadiène,Naphthalène,Chlorofluorocarbures (CFC),Tétrachloroéthylène (PER - perchloroéthylène),Titane et ses composés (Ti),Indeno(1 - 2 - 3-cd)pyrène,Méthanol (alcool méthylique),Toluène,Octylphénols,Sulfates,Hydrazine,Fluoranthène,Sulfure d'hydrogène (H2S),Chlorures (Cl total),Diphénylethers bromés,Halons,Hexachlorocyclohexane (HCH),Sulfure de carbone,Hexachlorobutadiène (HCBD),Hexafluorure de soufre (SF6),Chlorpyriphos,Hydrocarbures (C total),Acrylonitrile,Acétaldéhyde (aldéhyde acétique – éthanal),1 - 1 - 1-trichloroéthane (TCE),Aniline,Isoproturon,Benzène -  toluène -  éthylbenzène -  xylènes (BTEX),Etain et ses composés (Sn),Alachlore,Chlorométhane (chlorure de méthyle),Trifluorure d'azote (NF3),Hexabromobiphényle,Epichlorhydrine (1-chloro-2 - 3-époxypropane),Benzo(g - h - i)pérylène,Oxyde de propylène (1-2 époxypropane),Endosulfan,Hexachlorobenzène (HCB),Crésol (mélange d'isomères),Annee Polluants,Chloroalcanes (C10-13),Hydroxyde d'ammonium (NH4+),Tributylétain et composés,Chlordécone,Anthracène,1 - 1 - 2 - 2-tetrachloroéthane,Simazine,DDT total (y compris les métabolites DDD et DDE),Pentachlorobenzène,Atrazine,Isodrine,Pentachlorophénol (PCP),Endrine,Chlorfenvinphos,Dieldrine,Composés organostanniques (Sn),Toxaphène,Mirex,Aldrine,Triphénylétain et composés,PCBi : somme des 7 PCB indicateurs (PCB 28+PCB 52+PCB 101+PCB 118+PCB 138+PCB 153+PCB 180),Amiante,Sélénium,Ethylbenzène,Cluster
ALPES-MARITIMES,2.5846959728082624,142157.14285714287,10668285.714285715,2995071.4285714286,2317428.5714285714,0.0,151.14285714285714,215600.0,3789.5714285714284,7.968571428571429,426914.28571428574,80428.57142857143,794700.0,2153000.0,0.8571428571428571,1483.4428571428573,636.7142857142857,35.95428571428572,958.0,0.0,18.17142857142857,1120800.0,5871.428571428572,0.0,0.0,682842.8571428572,326114.28571428574,2880571.4285714286,5145.714285714285,0.0,1762.4857142857143,60.42,0.0,1308714.2857142857,6.968571428571429,0.0,0.0,0.0,158.57142857142858,0.0,0.0,0.5,0.0,0.05714285714285715,0.0,0.0,1344.5714285714287,94.65285714285713,9.538571428571428,459.0,481.4642857142857,56.142857142857146,11.9,0.0,5.042857142857143,604.4285714285714,252.28571428571428,0.0,0.0,0.0,10.078571428571431,0.0,1962.857142857143,5.385714285714286,0.0,0.0,340.9428571428571,40597.142857142855,0.0,0.0,0.0,503.14285714285717,0.0,0.0,10100.0,0.0,0.8957142857142857,2167142.8571428573,124.42857142857143,0.0,0.0,6910.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,484285.71428571426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,5.042857142857143,0.0,0.0,0.15714285714285717,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.0,0.0,0.0,19
BAS-RHIN,2.8098368553928443,125488.14285714286,17389000.0,5880828.571428572,822742.8571428572,0.0,631.4571428571428,97951.42857142857,13762.42857142857,10.394285714285715,152942.85714285713,1116571.4285714286,1002314.2857142857,1087714.2857142857,1.2514285714285713,551.5428571428572,625.4285714285714,41.69714285714286,260.7285714285714,0.0,41.86285714285714,1743585.7142857143,44914.28571428572,0.0,0.006857142857142858,1226714.2857142857,777071.4285714285,1052000.0,8858.57142857143,0.0,22315.428571428572,291.4382857142857,5242.857142857143,756000.0,1.6460000000000001,0.0,0.0,0.0,6917.142857142857,82.14285714285714,0.0,0.3315657142857143,0.0,3.06,0.0,7.349428571428571,12997.57142857143,26.173314285714287,12.23,0.0,3561.6428571428573,1324.2857142857142,15.6,0.0,0.0,21990.0,1421.142857142857,0.0,5185.714285714285,0.0,11.707142857142857,0.003428571428571429,9554.285714285714,0.0,26.414285714285715,0.21714285714285714,0.00013714285714285713,2722.8571428571427,0.0,136.42857142857142,1611.6142857142856,66.14285714285714,0.0,0.0,4600.0,0.0,7.714285714285714,6510000.0,66.28571428571429,0.44,1828.5714285714287,10822.857142857143,0.0,0.0,0.0,0.0,0.0,43.31428571428571,0.5714285714285714,1528.5714285714287,688.5714285714286,328.57142857142856,0.0,0.0,0.0,82.71428571428571,215.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,3.314285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
GARD,2.391630121227567,46398.57142857143,764285.7142857143,285528.5714285714,27114.285714285714,0.0,993.4285714285714,10024.285714285714,652.4285714285714,1.727142857142857,0.0,808285.7142857143,1016442.8571428572,0.0,0.0,353.5857142857143,38.94285714285714,32.52428571428571,154.14285714285714,0.0,36.05285714285714,1173357.142857143,0.0,49000.0,0.0,1029642.8571428572,156557.14285714287,513428.5714285714,9170.0,0.0,24657.82857142857,45.08714285714286,0.0,1744142.857142857,0.31857142857142856,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.07571428571428572,0.0,0.016,0.0,7.684962857142857,0.0,53.142857142857146,8798.742857142857,0.0,1.5714285714285714,770.0,0.0,4562.428571428572,65.87142857142858,2949.285714285714,3868.5714285714284,0.0,137.3057142857143,0.0,245427.14285714287,322.85714285714283,1.3871428571428572,0.0,6.514857142857143,0.0,0.0,0.0,7644.285714285715,2501.714285714286,0.0,0.0,10971.42857142857,0.0,0.0,1622857.142857143,0.0,0.0,0.0,2104.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
HAUT-RHIN,2.629467003384978,65042.857142857145,9740571.42857143,2826157.1428571427,1674685.7142857143,0.0,925.6142857142858,121712.85714285714,3944.714285714286,9.394285714285713,1228114.2857142857,178142.85714285713,2204300.0,892857.1428571428,2.1571428571428575,2065.2,623.4857142857143,98.93714285714286,293.6,0.0,15.632857142857144,2307400.0,2687571.4285714286,0.0,0.024714285714285713,1678614.2857142857,103000.0,772000.0,12374.285714285714,0.0,10492.857142857143,1.3857142857142857,0.0,2448571.4285714286,3.6700000000000004,0.0,3554.2571428571428,0.0,257.14285714285717,74.17999999999999,0.0,1.205714285714286,0.0,1.510714285714286,0.0,0.0683582857142857,3602.8571428571427,14.622857142857143,0.5,0.0,614.9499999999999,731.4285714285714,9.214285714285714,0.0,0.0,2520.5714285714284,3237.057142857143,0.0,5258.571428571428,1350571.4285714286,3.1999999999999997,0.0,1960.0,0.0,0.88,0.09857142857142857,1810.8,8155.714285714285,0.0,0.0,0.7428571428571429,6721.428571428572,21.714285714285715,0.0,57758.57142857143,1117.4285714285713,0.8714285714285716,1620000.0,0.0,0.0,0.0,11757.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.6757142857142858,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047142857142857146,0.0,0.0,0.0,19
LANDES,2.7069693159322847,181685.7142857143,14583857.142857144,2089342.857142857,501985.71428571426,0.0,480.25714285714287,70725.71428571429,44478.71428571428,0.0,0.0,614000.0,1087942.857142857,2311857.1428571427,0.0,781.0285714285714,466.0571428571429,3.09,1760.142857142857,0.0,247.58571428571426,2128800.0,1640385.7142857143,957142.8571428572,0.0,2325614.285714286,1041042.8571428572,499714.28571428574,55808.57142857143,0.0,0.0,0.09857142857142856,0.0,925285.7142857143,0.10285714285714286,0.0,25.342857142857145,0.0,5431.428571428572,0.0,32857.142857142855,0.0,0.0,0.0,0.0,0.5814285714285715,0.0,69.40428571428572,0.8571428571428571,0.0,178.34714285714284,64734.28571428572,12.971428571428572,2241.4285714285716,5.771428571428571,494.42857142857144,12995.214285714286,0.0,0.0,5871571.428571428,1.5142857142857142,0.0,0.0,0.0,319.4142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65442.857142857145,0.0,0.0,0.0,533.0,0.0,14257.142857142857,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427.285714285714,0.0,3614.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,1.1542857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
SAONE-ET-LOIRE,2.7341220857045454,120728.57142857143,3238857.1428571427,1629642.857142857,120471.42857142857,0.02284285714285714,563.4428571428572,46304.28571428572,2216.4285714285716,6.991428571428571,478571.4285714286,2568714.285714286,830400.0,556571.4285714285,0.0,260.12857142857143,383.2857142857143,3.7142857142857144,1630.1,0.023957142857142854,115.36428571428571,902471.4285714285,2242.8571428571427,250714.2857142857,0.0,220671.42857142858,70128.57142857143,2263142.8571428573,0.0,0.0,12661.42857142857,174.85714285714286,61971.42857142857,1778714.2857142857,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,212557.14285714287,0.13857142857142857,10.271428571428572,0.03142857142857143,0.0,0.0,1857.2857142857142,13.431428571428572,0.0,0.0,0.0,12072.857142857143,5.885714285714286,11531.42857142857,0.0,1745.857142857143,4294.628571428571,412.0,0.0,0.0,3.814285714285714,0.0,6040.0,0.0,79.28571428571429,0.0,0.0,0.0,0.0,100.57142857142857,0.0,0.0,0.0,0.004214285714285714,81145.71428571429,34.42857142857143,0.0,0.0,55.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542857142857143,406.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,3.082857142857143,0.0,35.357142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
SEINE-SAINT-DENIS,2.492861136199116,37857.142857142855,121973428.57142857,24765785.714285713,2247714.285714286,2.6000000000000002e-05,261.7857142857143,985117.1428571428,1084.2857142857142,0.0,471571.4285714286,774000.0,1492885.7142857143,24635714.285714287,0.0,104.85714285714286,42.0,39.69571428571429,23.857142857142858,3.642857142857143e-05,0.0,1774428.5714285714,45785.71428571428,0.0,0.0,594700.0,281400.0,223428.57142857142,2671.4285714285716,0.0,10.700000000000001,0.032857142857142856,49871.42857142857,700428.5714285715,0.03428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.22714285714285715,0.0,0.0,0.0,0.0,0.0,6.942857142857142,0.0,0.0,83.84,0.0,11.857142857142858,0.0,0.0,796.1428571428571,1689.4285714285713,0.0,6300.0,0.0,19.0,0.0,2900.0,292.85714285714283,0.0,0.0,12.538571428571428,3922.8571428571427,0.0,0.0,0.0,6378.571428571428,0.0,0.0,0.0,0.0,0.0,1964285.7142857143,0.0,0.0,0.0,2221.4285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
VAL-D'OISE,2.545176383256963,11168.362857142858,1593285.7142857143,186000.0,438071.4285714286,0.0008285714285714285,276.42857142857144,21828.571428571428,5251.571428571428,0.0,110928.57142857143,380285.71428571426,381057.14285714284,143000.0,0.0,1259.7142857142858,192.70000000000002,43.22857142857142,30.442857142857143,0.00013142857142857143,9.641428571428573,1028157.1428571428,7185.714285714285,0.0,0.0,670714.2857142857,647014.2857142857,6379428.571428572,1065.7142857142858,0.0,0.0,2.6371428571428575,0.0,336571.4285714286,2.237142857142857,0.0,0.0,6.714285714285714e-05,0.0,0.0,0.0,0.0,7.971428571428571,3.2657142857142856,0.0,0.07585714285714286,400.85714285714283,45.64557142857144,5.428571428571429,0.0,0.0,231.42857142857142,2.0142857142857142,0.0,0.0,42.857142857142854,0.0,0.0,2071.4285714285716,0.0,3.4085714285714284,0.0,5660.0,4217.142857142857,95.85714285714286,0.0,5.714285714285714,50157.142857142855,0.0,0.0,14.057142857142855,417.2714285714286,30.0,2.8571428571428574e-05,0.0,0.0,0.0,1144285.7142857143,0.0,0.0,0.0,3194.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
VAL-DE-MARNE,2.6479248663329464,0.0,9699285.714285715,2979514.285714286,1376371.4285714286,0.0,290.45714285714286,317412.85714285716,4461.857142857143,167.99857142857144,8414.285714285714,4188000.0,1832385.7142857143,3221571.4285714286,0.0,2035.857142857143,20.857142857142858,37.54714285714285,142.74285714285716,0.0,44.68142857142857,2031142.857142857,12314.285714285714,0.0,0.0,233985.7142857143,198842.85714285713,0.0,3587.1428571428573,0.0,40164.84285714286,75.58538571428572,42157.142857142855,2691000.0,14.16317142857143,0.0,13.742857142857144,0.0,2520.0,130.05714285714285,48857.142857142855,0.0,79.28571428571429,1.4942857142857144,0.0,0.11126285714285714,2312.8571428571427,18.09,58.62,0.0,2989.828571428571,0.0,20.014285714285712,12722.857142857143,0.0,5213.285714285715,78.12857142857142,0.0,1564.2857142857142,0.0,35.037142857142854,0.0,12571.42857142857,8757.142857142857,17.214285714285715,0.0,145.94285714285715,27044.285714285714,0.0,0.0,29.02857142857143,1118.5714285714287,0.0,0.0,0.0,459.14285714285717,0.0,6717142.857142857,0.0,0.0,0.0,6085.714285714285,0.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.57142857142858,78.71428571428571,0.0,0.0,0.0,0.0,224.28571428571428,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.228571428571429,0.0,19
